,Median Age,Total Population,Poverty Count,Median Household Income,Per Capita Income,employment_employed,employment_unemployed,median_gross_rent,median_monthly_owner_costs,Name,Zipcode
18541,47.8,3291.0,452.0,49089.0,24502.0,1436.0,83.0,515.0,1064.0,ZCTA5 55705,55705
18542,51.0,1751.0,182.0,41012.0,25251.0,764.0,81.0,640.0,837.0,ZCTA5 55706,55706
18543,41.3,3374.0,306.0,61741.0,27802.0,1704.0,52.0,726.0,1363.0,ZCTA5 55707,55707
18544,46.0,865.0,95.0,33485.0,22064.0,286.0,77.0,511.0,883.0,ZCTA5 55708,55708
18545,45.7,3922.0,384.0,53102.0,28045.0,1816.0,153.0,673.0,1301.0,ZCTA5 55709,55709
18546,53.1,1107.0,52.0,70000.0,35949.0,551.0,41.0,327.0,1271.0,ZCTA5 55710,55710
18547,43.5,584.0,137.0,44583.0,19663.0,233.0,26.0,533.0,1266.0,ZCTA5 55711,55711
18548,46.0,597.0,90.0,47969.0,23498.0,256.0,12.0,767.0,1235.0,ZCTA5 55712,55712
18549,45.0,1135.0,120.0,45455.0,23522.0,436.0,44.0,459.0,795.0,ZCTA5 55713,55713
18550,38.4,346.0,89.0,31806.0,18543.0,165.0,23.0,675.0,950.0,ZCTA5 55716,55716
18551,50.7,318.0,18.0,82813.0,49145.0,178.0,8.0,-666666666.0,1426.0,ZCTA5 55717,55717
18552,43.9,3378.0,346.0,60104.0,30602.0,1666.0,89.0,673.0,1343.0,ZCTA5 55718,55718
18553,43.2,5902.0,758.0,41220.0,21380.0,2248.0,232.0,509.0,902.0,ZCTA5 55719,55719
18554,37.1,16774.0,2483.0,52269.0,24610.0,8002.0,386.0,678.0,1175.0,ZCTA5 55720,55720
18555,42.8,3764.0,179.0,62292.0,30544.0,1830.0,120.0,721.0,1252.0,ZCTA5 55721,55721
18556,34.4,1087.0,226.0,42163.0,23023.0,542.0,51.0,677.0,1163.0,ZCTA5 55722,55722
18557,55.7,2298.0,168.0,45927.0,26072.0,853.0,75.0,722.0,1258.0,ZCTA5 55723,55723
18558,53.2,773.0,58.0,53889.0,29803.0,392.0,14.0,675.0,1331.0,ZCTA5 55724,55724
18559,58.9,112.0,30.0,-666666666.0,35325.0,67.0,10.0,-666666666.0,1442.0,ZCTA5 55725,55725
18560,45.3,1035.0,97.0,44655.0,25478.0,471.0,11.0,862.0,1461.0,ZCTA5 55726,55726
